Wavelength,"Control-NP, RT, 1h,50:1","Control-Cy5, RT, 1h,50:1"
629,0.0565,0.0335
630,0.057,0.033
631,0.056,0.0345
632,0.0565,0.0335
633,0.056,0.034
634,0.0555,0.0335
635,0.055,0.034
636,0.054,0.0335
637,0.0545,0.0335
638,0.054,0.034
639,0.053,0.034
640,0.0525,0.034
641,0.0515,0.0345
642,0.0515,0.034
643,0.051,0.0335
644,0.0505,0.033
645,0.0505,0.0335
646,0.0495,0.0335
647,0.05,0.034
648,0.049,0.0335
649,0.048,0.0335
650,0.047,0.0325
651,0.0475,0.0325
652,0.047,0.0315
653,0.0465,0.0315
654,0.047,0.0305
655,0.0465,0.0305
656,0.045,0.0305
657,0.0455,0.0305
658,0.045,0.03
659,0.045,0.029
660,0.0435,0.0285
661,0.043,0.0275
662,0.042,0.027
663,0.0415,0.026
664,0.042,0.0255
665,0.041,0.0255
666,0.041,0.025
667,0.0415,0.024
668,0.0405,0.024
669,0.04,0.0235
670,0.0395,0.0225
671,0.0385,0.0225
672,0.0385,0.0215
673,0.038,0.0215
674,0.0375,0.021
675,0.038,0.021
676,0.037,0.02
677,0.038,0.0205
678,0.0375,0.0205
679,0.0355,0.0205
680,0.035,0.02
681,0.0345,0.0195
682,0.035,0.019
683,0.034,0.0185
684,0.0335,0.018
685,0.0335,0.017
686,0.034,0.0165
687,0.033,0.017
688,0.032,0.0175
689,0.0325,0.017
690,0.0315,0.017
691,0.031,0.016
692,0.031,0.0165
693,0.0305,0.0165
694,0.0305,0.0155
695,0.031,0.016
696,0.0305,0.016
697,0.029,0.0155
698,0.029,0.016
699,0.0285,0.0155
700,0.028,0.015
701,0.027,0.0145
702,0.026,0.014
703,0.0255,0.014
704,0.026,0.014
705,0.0245,0.0145
706,0.0235,0.0135
707,0.0235,0.0135
708,0.022,0.013
709,0.0225,0.012
710,0.022,0.0115
711,0.022,0.012
712,0.0215,0.011
713,0.0215,0.011
714,0.022,0.011
715,0.021,0.011
716,0.021,0.0105
717,0.021,0.0105
718,0.0205,0.0105
719,0.02,0.01
720,0.0205,0.01
721,0.021,0.0105
722,0.02,0.01
723,0.0205,0.01
724,0.0205,0.0105
725,0.02,0.01
726,0.0195,0.0095
727,0.0195,0.01
728,0.0195,0.0095
729,0.0195,0.0095
730,0.019,0.0095
731,0.0185,0.01
732,0.0175,0.0095
733,0.0175,0.0095
